# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	2068
#@/user_id	mac_didi
a 	啊	c=3 d=0.621885 t=2066
da kai 	打開	c=2 d=1.91393 t=2066
da lao 	大佬	c=1 d=0.0327124 t=2066
da lu 	大路	c=1 d=0.375311 t=2066
da qi ye 	大企業	c=1 d=0.00909528 t=2066
da xue 	大學	c=3 d=0.5976 t=2066
dai ma 	代碼	c=1 d=0.117068 t=2066
dai tou 	帶頭	c=1 d=0.304221 t=2066
dai zhe 	帶着	c=1 d=0.0227089 t=2066
dan 	單	c=1 d=0.00585769 t=2066
dan du 	單獨	c=1 d=0.0672055 t=2066
dan shi 	但是	c=1 d=0.839457 t=2066
dao 	到	c=6 d=2.11822 t=2066
dao bi 	倒閉	c=1 d=0.0262523 t=2066
dao chu 	導出	c=1 d=0.00257991 t=2066
dao lu 	道路	c=1 d=0.582748 t=2066
de 	的	c=123 d=12.7863 t=2066
deng 	等	c=2 d=0.856484 t=2066
deng lu 	登錄	c=1 d=0.0301974 t=2066
di di 	滴滴	c=2 d=0.151945 t=2066
di fang 	地方	c=2 d=0.480642 t=2066
di gu 	低估	c=1 d=0.895834 t=2066
di su 	低速	c=1 d=0.0569831 t=2066
di tie 	地鐵	c=1 d=0.113042 t=2066
di tu 	地圖	c=4 d=2.49095 t=2066
di yi ci 	第一次	c=1 d=0.0291588 t=2066
di yi hang 	第一行	c=1 d=0.071719 t=2066
di zhi 	地址	c=2 d=0.0940602 t=2066
dian 	點	c=4 d=1.90885 t=2066
dian ji 	點擊	c=1 d=0.955997 t=2066
diao 	掉	c=1 d=0.00806679 t=2066
diao yong 	調用	c=1 d=0.126818 t=2066
ding 	定	c=1 d=0.0777981 t=2066
ding can fang 	定參訪	c=1 d=0.0428521 t=2066
ding dan 	訂單	c=10 d=0.440953 t=2066
ding dan zhong 	訂單中	c=1 d=0.0160027 t=2066
dong 	懂	c=1 d=0.105928 t=2066
dong 	棟	c=2 d=0.68455 t=2066
dong nan 	東南	c=1 d=0.231078 t=2066
dong xi 	東西	c=1 d=0.00565622 t=2066
dou 	都	c=14 d=3.19282 t=2066
dou shi 	都是	c=5 d=0.913931 t=2066
du 	度	c=0 d=0.0044601 t=2066
du ru 	讀入	c=1 d=0.0944202 t=2066
duan 	端	c=2 d=0.357653 t=2066
dui 	對	c=5 d=0.788938 t=2066
dui ying 	對應	c=6 d=0.740818 t=2066
dui zhang 	隊長	c=1 d=0.244143 t=2066
duo 	多	c=11 d=3.13853 t=2066
duo duo 	多多	c=2 d=0.0505517 t=2066
duo fu 	多富	c=1 d=0.677057 t=2066
duo mai 	多買	c=1 d=0.697676 t=2066
duo mu biao 	多目標	c=2 d=0.451158 t=2066
duo shao 	多少	c=1 d=0.00199922 t=2066
en 	恩	c=1 d=0.467666 t=2066
er 	爾	c=1 d=0.442639 t=2066
er 	而	c=1 d=0.414783 t=2066
er bu shi 	而不是	c=1 d=0.0274607 t=2066
er fen 	二分	c=1 d=0.0520787 t=2066
er xian 	二線	c=1 d=0.0880368 t=2066
fa 	發	c=4 d=0.441511 t=2066
fa xian 	發現	c=3 d=1.11476 t=2066
fan 	反	c=1 d=0.0118551 t=2066
fan guo lai 	反過來	c=1 d=0.0471227 t=2066
fan zheng 	反正	c=4 d=0.679736 t=2066
fang 	房	c=1 d=0.232236 t=2066
fang 	方	c=0 d=0.0860708 t=2066
fang fa 	方法	c=5 d=1.02446 t=2066
fang lao shi 	方老師	c=4 d=0.865022 t=2066
fei 	費	c=7 d=0.46251 t=2066
fei 	非	c=0 d=0.00143357 t=2066
fen 	份	c=1 d=0.0982736 t=2066
fen bu 	分佈	c=1 d=0.759572 t=2066
fen ge 	分個	c=1 d=0.130029 t=2066
fen kai 	分開	c=1 d=0.398519 t=2066
fen lei 	分類	c=1 d=0.190139 t=2066
fen qi 	分期	c=1 d=0.1368 t=2066
fen zhong 	分鐘	c=1 d=0.286505 t=2066
fu jia fei 	附加費	c=2 d=0.0304992 t=2066
fu mu 	父母	c=1 d=0.67032 t=2066
fu shu 	複述	c=1 d=0.0539337 t=2066
fu yang 	阜陽	c=2 d=0.123286 t=2066
fu zhi 	複製	c=1 d=0.00273944 t=2066
gai 	改	c=4 d=1.63238 t=2066
gai cheng 	改成	c=1 d=0.0142642 t=2066
gan ga 	尷尬	c=1 d=0.0343896 t=2066
gan jue 	感覺	c=2 d=0.491384 t=2066
gan xie 	感謝	c=1 d=0.0352602 t=2066
gang 	剛	c=1 d=0.00748391 t=2066
gang bei 	剛被	c=1 d=0.45612 t=2066
gao 	搞	c=4 d=1.39569 t=2066
gao cuo 	搞錯	c=2 d=0.0466538 t=2066
gao su 	高速	c=4 d=0.50409 t=2066
gao su fei 	高速非	c=1 d=0.0144076 t=2066
gao zi 	稿子	c=1 d=0.0665368 t=2066
ge 	個	c=2 d=0.194952 t=2066
ge 	哥	c=4 d=0.327026 t=2066
ge shi hua 	格式化	c=1 d=0.83527 t=2066
gei 	給	c=5 d=0.626531 t=2066
gei chu 	給出	c=1 d=0.0269169 t=2066
gei ni 	給你	c=2 d=0.110803 t=2066
gen ju 	根據	c=1 d=0.0162445 t=2066
geng 	更	c=1 d=0.0051953 t=2066
gong 	共	c=1 d=0.0223708 t=2066
gong cheng shi 	工程師	c=1 d=0.0291588 t=2066
gong neng 	功能	c=1 d=0.0776922 t=2066
gong si 	公司	c=4 d=0.482333 t=2066
gong wei 	工位	c=1 d=0.0374406 t=2066
gong zi 	工資	c=1 d=0.0871609 t=2066
gong zuo 	工作	c=2 d=0.947693 t=2066
gua zi 	瓜子	c=1 d=0.694197 t=2066
guan 	管	c=1 d=0.145148 t=2066
guan cha 	觀察	c=1 d=0.0106202 t=2066
guan li 	管理	c=2 d=0.368023 t=2066
guang xue 	光學	c=2 d=0.55042 t=2066
gui hua 	規劃	c=2 d=0.572727 t=2066
gui ji 	軌跡	c=2 d=0.641739 t=2066
gui ze 	規則	c=1 d=0.01649 t=2066
guo 	國	c=1 d=0.153355 t=2066
guo 	過	c=1 d=0.305746 t=2066
guo lai 	過來	c=2 d=0.402942 t=2066
guo zhen 	果真	c=1 d=0.0608101 t=2066
hai 	還	c=6 d=1.69862 t=2066
hai bu ru 	還不如	c=1 d=0.0544757 t=2066
hai mei 	還沒	c=1 d=0.786628 t=2066
hai shi 	還是	c=7 d=0.782212 t=2066
hai yao 	還要	c=0 d=0.0527292 t=2066
hai you 	還有	c=2 d=0.0151934 t=2066
hai zai 	還在	c=1 d=0.0192547 t=2066
han 	漢	c=1 d=0.116484 t=2066
hao 	好	c=13 d=3.20393 t=2066
hao ba 	好吧	c=1 d=0.0072265 t=2066
hao can 	好慘	c=1 d=0.062662 t=2066
hao de 	好的	c=3 d=0.676216 t=2066
hao duo 	好多	c=3 d=1.14651 t=2066
hao hai 	好還	c=1 d=0.193013 t=2066
hao ji bai 	好幾百	c=1 d=0.00951391 t=2066
hao ji ge 	好幾個	c=1 d=0.00292342 t=2066
hao jiu 	好久	c=1 d=0.0992613 t=2066
hao xiang 	好像	c=3 d=0.422384 t=2066
he 	和	c=20 d=1.30178 t=2066
he 	喝	c=1 d=0.0230521 t=2066
he bing 	合併	c=2 d=0.173774 t=2066
he tao 	核桃	c=1 d=0.683861 t=2066
hei 	黑	c=1 d=0.0158434 t=2066
hen 	很	c=3 d=1.03434 t=2066
hen can 	很慘	c=1 d=0.198891 t=2066
hen duo 	很多	c=1 d=0.694197 t=2066
hen hao 	很好	c=1 d=0.268474 t=2066
hong 	紅	c=4 d=0.315262 t=2066
hong bao 	紅包	c=1 d=0.20089 t=2066
hou 	後	c=1 d=0.522046 t=2066
hou lai 	後來	c=1 d=0.00226541 t=2066
hou mian 	後面	c=1 d=0.140156 t=2066
hu 	乎	c=1 d=0.0550232 t=2066
hu xi 	呼吸	c=1 d=0.0222592 t=2066
hua 	花	c=1 d=0.0284388 t=2066
hua sheng 	花生	c=1 d=0.0395575 t=2066
hua yuan 	花園	c=1 d=0.238115 t=2066
huan 	換	c=2 d=0.431592 t=2066
huan jing 	環境	c=3 d=0.0815193 t=2066
huan wan 	換完	c=1 d=0.00390694 t=2066
hui 	會	c=1 d=0.0035437 t=2066
hui bei 	會被	c=1 d=0.0824965 t=2066
hui gu 	回顧	c=0 d=0.0292293 t=2066
hui qu 	回去	c=1 d=0.111359 t=2066
hui su 	回溯	c=6 d=0.32683 t=2066
hui su he 	回溯和	c=1 d=0.0335406 t=2066
hui yi 	會議	c=1 d=0.597501 t=2066
hui yi shi 	會議室	c=0 d=0.00629761 t=2066
hui you 	會有	c=1 d=0.160414 t=2066
hui zai 	會在	c=1 d=0.332871 t=2066
hun 	混	c=4 d=0.618516 t=2066
hun ru 	混入	c=1 d=0.0319048 t=2066
huo 	獲	c=1 d=0.2334 t=2066
huo 	霍	c=1 d=0.23457 t=2066
huo dong 	活動	c=2 d=0.0819111 t=2066
huo guo 	獲過	c=1 d=0.375311 t=2066
huo zhe 	或者	c=1 d=0.215456 t=2066
ji 	機	c=1 d=0.29523 t=2066
ji 	集	c=1 d=0.0220377 t=2066
ji chu 	基礎	c=2 d=0.549376 t=2066
ji dai 	幾袋	c=1 d=0.701173 t=2066
ji ge 	幾個	c=2 d=0.318224 t=2066
ji hua 	計劃	c=1 d=0.0420036 t=2066
ji hui 	機會	c=3 d=0.108609 t=2066
ji nian 	幾年	c=1 d=0.180866 t=2066
ji nian 	紀念	c=1 d=0.113042 t=2066
ji nian qian 	幾年前	c=1 d=0.814647 t=2066
ji qi 	機器	c=6 d=1.28347 t=2066
ji shi wan 	幾十萬	c=1 d=0.0285814 t=2066
ji shu 	技術	c=2 d=0.814175 t=2066
ji suan 	計算	c=3 d=0.970446 t=2066
ji suan ji 	計算機	c=1 d=0.031273 t=2066
ji tian 	幾天	c=1 d=0.0214936 t=2066
ji xu 	繼續	c=1 d=0.351692 t=2066
ji yu 	基於	c=1 d=0.860708 t=2066
jia 	佳	c=1 d=0.323033 t=2066
jia 	夾	c=1 d=0.937067 t=2066
jia ge 	價格	c=1 d=0.0175975 t=2066
jia kuai 	加快	c=1 d=0.909373 t=2066
jia quan 	甲醛	c=1 d=0.0724398 t=2066
jian 	建	c=1 d=0.0020601 t=2066
jian 	鍵	c=1 d=0.0605068 t=2066
jian ce 	檢測	c=1 d=0.0277367 t=2066
jian cha 	檢查	c=2 d=0.375555 t=2066
jian guo 	見過	c=1 d=0.215456 t=2066
jian pan 	鍵盤	c=1 d=0.0599047 t=2066
jian shao 	減少	c=2 d=0.00868427 t=2066
jiang 	將	c=1 d=0.458406 t=2066
jiang 	獎	c=1 d=0.379083 t=2066
jiang 	蔣	c=1 d=0.0389686 t=2066
jiang 	講	c=1 d=0.0769192 t=2066
jiang hu 	江湖	c=1 d=0.0536647 t=2066
jiao 	叫	c=1 d=0.640824 t=2066
jiao cha 	交叉	c=1 d=0.491644 t=2066
jiao xing 	僥倖	c=1 d=0.0317456 t=2066
jiao yu 	教育	c=1 d=0.458406 t=2066
jie 	節	c=1 d=0.227638 t=2066
jie guo 	結果	c=6 d=0.0663475 t=2066
jie hun 	結婚	c=1 d=0.108067 t=2066
jie mian 	界面	c=1 d=0.0753961 t=2066
jie shao 	介紹	c=1 d=0.0332068 t=2066
jie shu 	結束	c=1 d=0.053397 t=2066
jie xi 	解析	c=1 d=0.153355 t=2066
jin nian 	今年	c=1 d=0.238115 t=2066
jin tian 	今天	c=5 d=0.91019 t=2066
jing 	靜	c=1 d=0.856415 t=2066
jing dong 	京東	c=1 d=0.138761 t=2066
jing ji xue 	經濟學	c=1 d=0.239309 t=2066
jing qi 	驚奇	c=1 d=0.242926 t=2066
jing shi 	警示	c=1 d=0.290835 t=2066
jiu 	就	c=6 d=0.569666 t=2066
jiu hao 	就好	c=1 d=0.0858632 t=2066
jiu shi 	就是	c=8 d=0.604232 t=2066
jiu xiang 	就像	c=1 d=0.12938 t=2066
ju li 	距離	c=2 d=0.00665889 t=2066
ju ran 	居然	c=2 d=0.0252394 t=2066
jun zi 	君子	c=1 d=0.346456 t=2066
ka fei 	咖啡	c=1 d=0.0232837 t=2066
kai 	開	c=1 d=0.00597602 t=2066
kai shi 	開始	c=2 d=0.142987 t=2066
kai wan 	開完	c=0 d=0.0035437 t=2066
kai wan hui 	開完會	c=1 d=0.0356146 t=2066
kai zhan 	開展	c=1 d=0.024234 t=2066
kan 	看	c=17 d=2.22662 t=2066
kan 	砍	c=2 d=0.0120173 t=2066
kan bu dao 	看不到	c=1 d=0.0488012 t=2066
kan chu 	看出	c=1 d=0.100259 t=2066
kan dao 	看到	c=1 d=0.771052 t=2066
kan kan 	看看	c=1 d=0.951229 t=2066
kan qi lai 	看起來	c=3 d=0.700595 t=2066
kao 	考	c=1 d=0.17552 t=2066
kao shang 	考上	c=1 d=0.171187 t=2066
ke 	可	c=1 d=0.392586 t=2066
ke 	課	c=2 d=0.475195 t=2066
ke cheng 	課程	c=1 d=0.447088 t=2066
ke fu 	客服	c=2 d=0.0253038 t=2066
ke long 	克隆	c=2 d=0.0158228 t=2066
ke neng 	可能	c=4 d=0.448329 t=2066
ke xi 	可惜	c=1 d=0.075774 t=2066
ke yi 	可以	c=7 d=1.86511 t=2066
keng 	坑	c=1 d=0.00269866 t=2066
kong bu 	恐怖	c=1 d=0.726149 t=2066
kou 	口	c=1 d=0.00308872 t=2066
kuai 	快	c=1 d=0.00355287 t=2066
kuai qian 	塊錢	c=1 d=0.0095616 t=2066
kuang 	況	c=1 d=0.0413782 t=2066
kui kong 	虧空	c=1 d=0.786628 t=2066
kun nan 	困難	c=1 d=0.344728 t=2066
la 	啦	c=1 d=0.00382958 t=2066
la 	拉	c=1 d=0.0157644 t=2066
la ji 	垃圾	c=2 d=0.0625492 t=2066
lai 	來	c=36 d=3.72851 t=2066
lang hao 	狼毫	c=1 d=0.146607 t=2066
lao da 	老大	c=1 d=0.346456 t=2066
lao lao shi shi 	老老實實	c=2 d=0.486818 t=2066
lao shi 	老師	c=0 d=0.0860708 t=2066
le 	了	c=36 d=2.26575 t=2066
li 	離	c=1 d=0.0261214 t=2066
li hai 	厲害	c=2 d=0.847762 t=2066
li jie 	理解	c=1 d=0.0473589 t=2066
li mao 	禮貌	c=1 d=0.246597 t=2066
li mian 	裏面	c=4 d=0.368844 t=2066
li wu 	禮物	c=1 d=0.433874 t=2066
li xing 	例行	c=1 d=0.0731678 t=2066
li yong 	利用	c=1 d=0.980199 t=2066
li you 	理由	c=1 d=0.0273237 t=2066
li zi 	例子	c=1 d=0.121238 t=2066
lian 	連	c=1 d=0.199888 t=2066
lian jie 	連接	c=1 d=0.465334 t=2066
lian xi 	聯繫	c=1 d=0.0968105 t=2066
lian xiang 	聯想	c=1 d=0.882497 t=2066
lian xu 	連續	c=2 d=0.0863562 t=2066
lian xu xing 	連續性	c=1 d=0.123687 t=2066
liang 	亮	c=1 d=0.075774 t=2066
liang 	量	c=2 d=0.00641879 t=2066
liang ge 	兩個	c=2 d=0.247112 t=2066
liang tian 	兩天	c=1 d=0.0149956 t=2066
liang zhong 	兩種	c=1 d=0.357007 t=2066
lin 	林	c=4 d=0.319147 t=2066
lin zhi ying 	林志穎	c=1 d=0.104874 t=2066
ling 	玲	c=1 d=0.108609 t=2066
ling 	領	c=1 d=0.0972957 t=2066
ling dao 	領導	c=1 d=0.0490458 t=2066
ling wai 	另外	c=2 d=0.570908 t=2066
liu 	六	c=1 d=0.806541 t=2066
liu 	劉	c=1 d=0.00204983 t=2066
liu 	留	c=2 d=0.111359 t=2066
liu liang 	流量	c=1 d=0.00634556 t=2066
liu ru 	流入	c=1 d=0.00412784 t=2066
liu xing 	流行	c=1 d=0.826959 t=2066
lu 	路	c=4 d=0.122277 t=2066
lu ru 	錄入	c=1 d=0.918512 t=2066
lu wang 	路網	c=3 d=0.288963 t=2066
lu xian 	路線	c=1 d=0.0170774 t=2066
lun tan 	論壇	c=1 d=0.14808 t=2066
lun wen 	論文	c=4 d=1.49044 t=2066
luo ma 	羅馬	c=1 d=0.379083 t=2066
lv dou 	綠豆	c=1 d=0.0399551 t=2066
ma 	嗎	c=22 d=4.15347 t=2066
ma 	馬	c=0 d=0.0759572 t=2066
ma fan 	麻煩	c=1 d=0.324652 t=2066
ma tong xue 	馬同學	c=1 d=0.763379 t=2066
mai 	買	c=2 d=0.247573 t=2066
mao 	茂	c=1 d=0.0194482 t=2066
mao rong 	茂榕	c=1 d=0.090718 t=2066
me 	麼	c=6 d=0.983361 t=2066
me ban 	麼辦	c=1 d=0.33454 t=2066
mei 	每	c=3 d=0.161641 t=2066
mei 	沒	c=4 d=1.32904 t=2066
mei ci 	每次	c=1 d=0.0330412 t=2066
mei guo 	美國	c=1 d=0.00900478 t=2066
mei tian 	每天	c=1 d=0.0320647 t=2066
mei tuan 	美團	c=1 d=0.0685632 t=2066
mei you 	沒有	c=9 d=0.683903 t=2066
men 	們	c=2 d=0.596659 t=2066
mi mi 	祕密	c=1 d=0.236928 t=2066
mian xi 	免息	c=1 d=0.13332 t=2066
miao 	秒	c=1 d=0.00410726 t=2066
ming bai 	明白	c=1 d=0.0507928 t=2066
ming ling hang 	命令行	c=1 d=0.895834 t=2066
ming nian 	明年	c=1 d=0.173774 t=2066
ming shi 	明示	c=1 d=0.00215492 t=2066
ming tian 	明天	c=2 d=0.198891 t=2066
ming yue 	明月	c=3 d=2.82546 t=2066
ming yun 	命運	c=1 d=0.0224829 t=2066
ming zi 	名字	c=1 d=0.637628 t=2066
mo 	末	c=1 d=0.117068 t=2066
mo xing 	模型	c=4 d=1.68077 t=2066
mu biao 	目標	c=2 d=0.552064 t=2066
mu lu xia 	目錄下	c=1 d=0.0948935 t=2066
na 	拿	c=1 d=0.0212797 t=2066
na 	那	c=11 d=0.707641 t=2066
na fen 	那份	c=1 d=0.103312 t=2066
na ge 	那個	c=4 d=0.744796 t=2066
na li 	哪裏	c=3 d=0.223356 t=2066
na pian 	那篇	c=1 d=0.0558548 t=2066
na wo 	拿握	c=1 d=0.937067 t=2066
na wo 	那我	c=1 d=0.946485 t=2066
na xie 	那些	c=1 d=0.222017 t=2066
na yi pai 	那一排	c=1 d=0.142274 t=2066
na zhang 	那張	c=1 d=0.00711891 t=2066
nai 	奈	c=1 d=0.440432 t=2066
nan 	難	c=1 d=0.0629761 t=2066
nei rong 	內容	c=3 d=0.691784 t=2066
neng 	能	c=4 d=0.66499 t=2066
neng bu neng 	能不能	c=2 d=0.0409759 t=2066
ni 	你	c=23 d=2.9889 t=2066
ni bu 	你不	c=1 d=0.174645 t=2066
ni hai yao 	你還要	c=1 d=0.529935 t=2066
ni hui 	你會	c=1 d=0.826959 t=2066
ni you 	你有	c=1 d=0.980199 t=2066
ni zhe ge 	你這個	c=1 d=0.0420036 t=2066
nian 	年	c=2 d=0.033145 t=2066
niu 	牛	c=2 d=0.542966 t=2066
niu ke 	牛客	c=1 d=0.0833256 t=2066
o 	哦	c=3 d=0.977214 t=2066
pa 	怕	c=1 d=0.323033 t=2066
pai ming 	排名	c=1 d=0.402524 t=2066
pan duan 	判斷	c=1 d=0.12307 t=2066
pang bian 	旁邊	c=1 d=0.0113902 t=2066
pang bo 	龐博	c=1 d=0.0599047 t=2066
pang ren 	旁人	c=0 d=0.000207043 t=2066
pao 	跑	c=4 d=0.84395 t=2066
pao shu ju 	跑數據	c=1 d=0.0328764 t=2066
pei zhi 	配置	c=6 d=4.17185 t=2066
pin 	拼	c=2 d=0.927743 t=2066
pin duo duo 	拼多多	c=9 d=0.240982 t=2066
pin yin 	拼音	c=1 d=0.941765 t=2066
ping 	平	c=1 d=0.00207043 t=2066
ping 	憑	c=1 d=0.00236968 t=2066
ping gu 	評估	c=4 d=0.151944 t=2066
ping tai 	平臺	c=5 d=0.810137 t=2066
ping wei 	評委	c=1 d=0.00242967 t=2066
qi 	器	c=1 d=0.995012 t=2066
qi 	期	c=2 d=0.263336 t=2066
qi 	琪	c=1 d=0.23457 t=2066
qi dong 	啓動	c=1 d=0.11475 t=2066
qi guai 	奇怪	c=1 d=0.178173 t=2066
qi kan 	期刊	c=2 d=1.27382 t=2066
qi lai 	起來	c=1 d=0.467666 t=2066
qi shi 	其實	c=1 d=0.0520787 t=2066
qi ta 	其他	c=5 d=0.33454 t=2066
qian 	前	c=2 d=0.00618368 t=2066
qian ru 	嵌入	c=1 d=0.189191 t=2066
qian wang 	前往	c=2 d=1.85086 t=2066
qiang ge 	強哥	c=1 d=0.0510474 t=2066
qiang hua 	強化	c=5 d=1.92283 t=2066
qie huan 	切換	c=3 d=0.154236 t=2066
qing 	請	c=2 d=0.419351 t=2066
qing dao 	青島	c=7 d=2.25884 t=2066
qing hua 	清華	c=1 d=0.249075 t=2066
qing kuang 	情況	c=3 d=0.373493 t=2066
qing nian 	青年	c=1 d=0.226502 t=2066
qing qiu 	請求	c=2 d=0.235935 t=2066
qing xi 	清洗	c=1 d=0.519442 t=2066
qiu mian 	球面	c=1 d=0.00334597 t=2066
qu 	區	c=2 d=1.23467 t=2066
qu 	去	c=5 d=1.3943 t=2066
qu nian 	去年	c=2 d=0.680944 t=2066
qu xiao 	取消	c=9 d=0.14916 t=2066
qu zuo 	去做	c=1 d=0.371577 t=2066
quan 	全	c=1 d=0.0466538 t=2066
quan bu 	全部	c=1 d=0.066205 t=2066
quan guo 	全國	c=1 d=0.128735 t=2066
que ding 	確定	c=1 d=0.0297478 t=2066
