# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
an quan xing 	安全性	c=0 d=0.1 t=147154
an shang mian 	按上面	c=1 d=1 t=69256
an shi 	按時	c=1 d=1 t=72045
an shi 	暗示	c=3 d=1 t=157249
an shi jian 	暗時間	c=4 d=3.96032 t=148321
an shi ni 	暗示你	c=1 d=0.379083 t=4073
an ta 	安踏	c=1 d=1 t=48595
an wei 	安慰	c=1 d=1 t=23831
an xia 	按下	c=5 d=1 t=162717
an xin 	安心	c=2 d=1 t=190317
an ye 	暗夜	c=3 d=1.81058 t=107928
an yi 	安逸	c=1 d=1 t=113387
an zhao 	按照	c=9 d=1 t=94722
an zhe ge 	按這個	c=1 d=1 t=181467
an zheng chang 	按正常	c=1 d=1 t=42657
an zhou 	按周	c=1 d=1 t=144633
an zhu 	按住	c=3 d=2.92669 t=124672
an zhuang 	安裝	c=60 d=1 t=190972
an zhuang bao 	安裝包	c=1 d=1 t=41976
an zhuo 	安卓	c=5 d=1 t=171345
ao 	奧	c=4 d=1 t=97388
ao 	敖	c=4 d=1 t=147238
ao da 	澳大	c=1 d=1 t=111443
ao da li ya 	澳大利亞	c=1 d=1 t=112134
ao dao 	熬到	c=1 d=1 t=82998
ao de sai 	奧德賽	c=6 d=1 t=78977
ao ka mu 	奧卡姆	c=2 d=1.14016 t=169870
ao li ao 	奧利奧	c=1 d=1 t=80496
ao man 	傲慢	c=1 d=1 t=176206
ao mi 	奧祕	c=2 d=1.97045 t=93473
ao sen 	奧森	c=1 d=1 t=10412
ao si ka 	奧斯卡	c=1 d=1 t=104393
ao ye 	熬夜	c=7 d=1 t=182424
ao yuan 	澳元	c=1 d=1 t=112162
ao zhou 	澳洲	c=2 d=1.99005 t=92701
ba 	八	c=10 d=1 t=195245
ba 	吧	c=1121 d=2.40134 t=206361
ba 	巴	c=1 d=1 t=40440
ba 	扒	c=1 d=1 t=124554
ba 	把	c=466 d=1.971 t=206476
ba 	拔	c=1 d=1 t=48849
ba 	霸	c=1 d=1 t=141707
ba ba 	巴巴	c=4 d=1 t=183517
ba ba 	爸爸	c=13 d=1 t=203871
ba ba la 	芭芭拉	c=1 d=1 t=183514
ba da 	八大	c=1 d=1 t=94861
ba dian 	八點	c=1 d=1 t=156100
ba fa li ya 	巴伐利亞	c=1 d=1 t=12647
ba fei te 	巴菲特	c=2 d=1 t=176158
ba gua 	八卦	c=2 d=1.94176 t=5170
ba ha 	巴哈	c=1 d=1 t=104079
ba he 	巴赫	c=2 d=1 t=151330
ba li 	巴黎	c=1 d=1 t=73214
ba ma 	爸媽	c=1 d=1 t=12347
ba ni 	把你	c=2 d=1 t=202957
ba ni men 	吧你們	c=1 d=1 t=69048
ba se 	把色	c=1 d=1 t=201978
ba ta 	把它	c=2 d=1 t=195782
ba wan 	把玩	c=1 d=0.00479587 t=4073
ba wang 	八王	c=1 d=1 t=17711
ba wang 	霸王	c=1 d=1 t=87774
ba wang hua 	霸王花	c=4 d=1 t=121079
ba wei 	八位	c=0 d=0.1 t=11265
ba wei tang 	八位堂	c=1 d=1 t=11266
ba wo 	把握	c=2 d=1 t=198403
ba xi 	巴西	c=5 d=1 t=197202
ba ye 	霸業	c=8 d=1 t=99457
ba yi 	八一	c=1 d=1 t=42329
ba zhang 	巴掌	c=1 d=1 t=131725
ba zhong 	八種	c=1 d=1 t=23506
ba zi 	八字	c=1 d=1 t=176518
bai 	拜	c=1 d=1 t=197933
bai 	擺	c=1 d=1 t=183461
bai 	白	c=27 d=1 t=199645
bai 	百	c=15 d=1 t=205312
bai ban 	白板	c=6 d=1 t=171520
bai cai 	白菜	c=3 d=1.81058 t=121632
bai chi 	白癡	c=1 d=1 t=154612
bai dong 	擺動	c=1 d=1 t=100954
bai du 	拜讀	c=1 d=1 t=106996
bai du 	百度	c=46 d=1 t=191436
bai fei 	白費	c=1 d=1 t=85257
bai fen 	百分	c=5 d=1 t=152845
bai fen bai 	百分百	c=1 d=1 t=134269
bai fen bi 	百分比	c=4 d=1 t=141873
bai fen zhi 	百分之	c=1 d=1 t=136214
bai gan 	白乾	c=2 d=1 t=65000
bai hui 	白灰	c=1 d=1 t=82489
bai jin 	白金	c=3 d=2.94099 t=94401
bai jiu 	白酒	c=1 d=1 t=102871
bai ke 	百科	c=7 d=1 t=94385
bai luo 	敗落	c=2 d=1.00108 t=173895
bai ma 	白馬	c=2 d=1.97531 t=48871
bai mi 	百米	c=3 d=1.99662 t=61056
bai mian 	百麪	c=11 d=1.0038 t=200590
bai ming dan 	白名單	c=2 d=1 t=158270
bai nian 	百年	c=6 d=5.63477 t=199823
bai nian gu du 	百年孤獨	c=4 d=3.89698 t=199820
bai pang 	白胖	c=2 d=1.83527 t=120769
bai pi shu 	白皮書	c=1 d=1 t=186494
bai ri 	百日	c=1 d=1 t=107530
bai ri ji 	百日記	c=1 d=1 t=131752
bai se 	白色	c=3 d=1 t=80234
bai shou 	白首	c=1 d=1 t=184887
bai song 	白送	c=3 d=1 t=101548
bai tian 	白天	c=4 d=1 t=191381
bai tiao 	白條	c=4 d=1.93239 t=185523
bai tuo 	拜託	c=2 d=1 t=116096
bai tuo 	擺脫	c=8 d=1 t=171020
bai wan 	百萬	c=4 d=1 t=189313
bai yun 	白雲	c=2 d=1 t=161946
bai zhi 	白紙	c=1 d=1 t=200518
ban 	伴	c=1 d=1 t=84662
ban 	半	c=41 d=1.00014 t=198939
ban 	拌	c=1 d=1 t=194425
ban 	搬	c=8 d=1 t=199875
ban 	板	c=10 d=1 t=156357
ban 	版	c=66 d=1.02096 t=201350
ban 	班	c=19 d=1 t=189813
ban 	般	c=9 d=1 t=206312
ban 	辦	c=9 d=1 t=199458
ban ben 	版本	c=138 d=1.2984 t=205577
ban cheng 	半程	c=1 d=1 t=69843
ban dao 	搬到	c=3 d=1 t=160682
ban deng 	板凳	c=0 d=0.1 t=39944
ban duan 	半段	c=1 d=1 t=13668
ban fa 	辦法	c=32 d=1 t=205490
ban fo 	半佛	c=1 d=1 t=152705
ban ge 	半個	c=10 d=1 t=190897
ban ge xiao shi 	半個小時	c=2 d=0.1 t=197763
ban ge xiao shi duo 	半個小時多	c=1 d=1 t=197764
ban ge yue 	半個月	c=1 d=1 t=191185
ban gong 	辦公	c=29 d=1.98511 t=191020
ban gong qu 	辦公區	c=3 d=1.04097 t=125430
ban gong shi 	辦公室	c=4 d=1.82696 t=82548
ban guo qu 	搬過去	c=1 d=1 t=11965
ban hao 	辦好	c=1 d=1 t=124136
ban jia 	半價	c=3 d=1 t=186486
ban jia 	搬家	c=4 d=1 t=23334
ban jiang 	頒獎	c=1 d=1 t=112263
ban jiao 	半角	c=2 d=1 t=176783
ban jing 	半徑	c=1 d=1 t=104683
ban jing du 	半精度	c=1 d=1 t=8906
ban kuai 	板塊	c=1 d=1 t=87160
ban lv 	伴侶	c=1 d=1 t=89814
ban mian 	拌麪	c=1 d=1 t=194414
ban nian 	半年	c=21 d=1 t=203251
ban nian duo 	半年多	c=2 d=1 t=197037
ban nian hou 	半年後	c=1 d=1 t=48088
ban shang 	版上	c=1 d=1 t=128992
ban shang 	班上	c=1 d=1 t=128991
ban sheng 	半生	c=2 d=1 t=169075
ban shi 	版式	c=1 d=1 t=138203
ban tian 	半天	c=10 d=1.96561 t=196719
ban xiao shi 	半小時	c=10 d=1 t=190809
ban xiao shi hou 	半小時後	c=1 d=1 t=199986
ban yan 	扮演	c=1 d=1 t=97839
ban ye 	半夜	c=16 d=1 t=188133
ban yue 	半月	c=1 d=1 t=206585
ban zou 	搬走	c=3 d=1 t=156501
bang 	幫	c=18 d=1 t=205676
bang 	棒	c=3 d=1 t=168014
bang 	榜	c=8 d=1 t=186341
bang 	綁	c=6 d=1 t=205677
bang bang 	棒棒	c=0 d=0.1 t=196795
bang bang de 	棒棒的	c=1 d=1 t=196796
bang ding 	綁定	c=5 d=1 t=128625
bang jia 	綁架	c=1 d=1 t=90594
bang man 	幫滿	c=3 d=1 t=149672
bang mang 	幫忙	c=82 d=1.75756 t=205764
bang mang que ren 	幫忙確認	c=1 d=1 t=201510
bang mian 	幫麪	c=2 d=1 t=145306
bang ni 	幫你	c=7 d=1 t=183035
bang ren 	幫人	c=1 d=1 t=20232
bang shang 	榜上	c=1 d=1 t=75583
bang ta 	幫他	c=1 d=1 t=114846
bang wan 	傍晚	c=3 d=1 t=158035
bang wo 	幫我	c=6 d=1 t=182676
bang wo men 	幫我們	c=1 d=1 t=189947
bang zhu 	幫助	c=11 d=0.1 t=183036
bang zhu ni 	幫助你	c=1 d=1 t=183037
bang zhu xia 	幫助下	c=3 d=1 t=194938
bang zhu ying de 	幫助贏得	c=1 d=1 t=134227
bang zi 	膀子	c=1 d=1 t=39597
bao 	保	c=4 d=1.07654 t=202773
bao 	包	c=44 d=1.94451 t=173338
bao 	堡	c=5 d=1 t=130724
bao 	報	c=30 d=1.84366 t=205841
bao 	寶	c=7 d=1 t=120324
bao 	曝	c=1 d=1 t=92910
bao 	爆	c=2 d=1 t=194687
bao 	豹	c=1 d=1 t=141705
bao an 	保安	c=3 d=1 t=204039
bao bao 	寶寶	c=0 d=0.1 t=56377
bao biao 	報表	c=30 d=1 t=192763
bao cai 	包菜	c=2 d=1 t=121592
bao chi 	保持	c=21 d=1.3413 t=203058
bao cun 	保存	c=117 d=1.92312 t=195572
bao cun 	抱存	c=1 d=1 t=164186
bao cun cheng 	保存成	c=1 d=1 t=141298
bao cun dao 	保存到	c=1 d=1 t=4834
bao cun wei 	保存爲	c=1 d=1 t=110923
bao cun zai 	保存在	c=1 d=1 t=47497
bao cuo 	報錯	c=18 d=1.00607 t=204653
bao di 	保底	c=2 d=1.97045 t=62095
bao di 	寶地	c=1 d=1 t=77972
bao dian 	寶典	c=8 d=1 t=202188
bao ding 	保定	c=1 d=1 t=23432
bao fa 	爆發	c=4 d=1 t=138464
bao fei 	報廢	c=3 d=2.98012 t=46092
bao fu 	包袱	c=1 d=1 t=66574
bao gao 	報告	c=11 d=1 t=204445
bao guang 	爆光	c=2 d=1 t=143517
bao gui de 	寶貴的	c=1 d=1 t=195739
bao han 	包含	c=62 d=1.96561 t=206555
bao he 	飽和	c=3 d=1 t=35805
bao he qu 	飽和區	c=4 d=1 t=200710
bao hu 	保護	c=3 d=1 t=166712
bao ji 	寶雞	c=2 d=1 t=205726
bao jing 	報警	c=19 d=1 t=205777
bao kao 	報考	c=2 d=1 t=198013
bao kong 	包空	c=3 d=1.01715 t=141223
bao kuo 	包括	c=41 d=1 t=184212
bao lan 	寶藍	c=2 d=1 t=168329
bao lei 	堡壘	c=3 d=1 t=46329
bao lei ji 	堡壘機	c=2 d=1 t=46327
bao li 	暴力	c=5 d=1 t=203206
bao li dian 	暴力點	c=1 d=1 t=191488
bao liao 	爆料	c=1 d=1 t=7009
bao lie 	爆裂	c=3 d=1.99005 t=62919
bao ling 	保齡	c=1 d=1 t=49904
bao ling qiu 	保齡球	c=2 d=1.5975 t=50002
bao liu 	保留	c=36 d=1 t=205086
bao lu 	暴露	c=1 d=1 t=141739
bao ma 	寶馬	c=1 d=1 t=40592
bao ming 	報名	c=1 d=1 t=81813
bao nian 	包年	c=2 d=1 t=156861
bao po 	爆破	c=1 d=1 t=179827
bao qian 	抱歉	c=4 d=1 t=134655
bao quan 	保全	c=2 d=1.96561 t=182152
bao quan 	抱拳	c=1 d=0.000231716 t=4073
bao rong 	包容	c=1 d=1 t=69584
bao shang 	報上	c=1 d=1 t=51103
bao shou 	飽受	c=1 d=0.0015648 t=4073
bao song 	保送	c=1 d=1 t=14323
bao ting 	報亭	c=1 d=1 t=12646
bao wen 	保溫	c=1 d=1 t=119820
bao wen 	豹紋	c=1 d=1 t=124560
bao wen bei 	保溫杯	c=1 d=1 t=99103
bao xian 	保險	c=5 d=1.00281 t=203946
bao xiao 	報銷	c=13 d=1.93258 t=203929
bao xiao dan 	報銷單	c=1 d=1 t=89795
bao xue 	暴雪	c=2 d=1.42956 t=49882
bao yan 	保研	c=1 d=1 t=32483
bao you 	抱有	c=6 d=1 t=190612
bao yu 	寶玉	c=4 d=1 t=174821
bao yu tian tian 	寶玉天天	c=1 d=1 t=149255
bao yuan 	抱怨	c=5 d=1 t=165872
bao yue 	包月	c=1 d=1 t=100331
bao zha 	爆炸	c=10 d=0.1 t=204251
bao zha de 	爆炸的	c=1 d=1 t=204252
bao zhang 	保障	c=5 d=1 t=158982
bao zheng 	保證	c=36 d=1 t=206240
bao zhi 	保值	c=1 d=1 t=84821
bao zhu 	保住	c=1 d=0.1 t=159238
bao zhuang 	包裝	c=2 d=1 t=153339
bao zou 	暴走	c=2 d=1 t=135619
bei 	倍	c=17 d=1.86071 t=203726
bei 	北	c=13 d=1.98511 t=170976
bei 	唄	c=7 d=1 t=117613
bei 	盃	c=7 d=1.01833 t=84983
bei 	碑	c=1 d=1 t=53262
bei 	背	c=6 d=1 t=180208
bei 	被	c=253 d=1.0027 t=206188
bei 	貝	c=8 d=1.93707 t=201275
bei an 	備案	c=4 d=1 t=176326
bei bao 	背包	c=2 d=1 t=157898
bei can 	悲慘	c=2 d=1 t=138335
bei da 	北大	c=13 d=1 t=183966
bei dai he 	北戴河	c=1 d=1 t=48589
bei dong 	被動	c=1 d=1 t=119632
bei dou 	北斗	c=2 d=1 t=183809
bei duo fen 	貝多芬	c=1 d=1 t=168613
bei er 	貝爾	c=2 d=1 t=113959
bei fa xian 	被發現	c=1 d=1 t=155903
bei fang 	北方	c=3 d=1 t=74677
bei fen 	備份	c=43 d=1.02001 t=206413
bei fen 	輩分	c=3 d=2.9218 t=43057
bei gan 	備感	c=1 d=1 t=168731
bei guo 	背鍋	c=27 d=1.96561 t=99226
bei hai 	北海	c=2 d=1.99005 t=37768
bei hang 	北航	c=12 d=1 t=143159
bei hou 	背後	c=6 d=1 t=191618
bei ji xing 	北極星	c=2 d=1 t=79711
bei jia er hu 	貝加爾湖	c=2 d=1.99501 t=96130
bei jing 	北京	c=294 d=1.67083 t=200183
bei jing 	北境	c=1 d=1 t=140269
bei jing 	背景	c=29 d=1 t=204607
bei jing de 	北京的	c=1 d=1 t=193416
bei jing fa bu 	北京發佈	c=1 d=1 t=200086
bei jing shi 	北京市	c=1 d=1 t=25862
bei ke 	北科	c=1 d=1 t=38618
bei keng 	被坑	c=1 d=1 t=170947
bei li yong 	被利用	c=0 d=0.1 t=134125
bei li yong de 	被利用的	c=1 d=1 t=134126
bei lun 	悖論	c=8 d=1 t=179146
bei luo 	北落	c=1 d=1 t=116084
bei men 	北門	c=1 d=1 t=163125
bei pao qi 	被拋棄	c=0 d=0.1 t=134270
bei piao 	北漂	c=2 d=1 t=106105
bei ping 	北平	c=1 d=1 t=80243
bei shan 	被刪	c=1 d=1 t=20479
bei shang 	北上	c=1 d=0.431211 t=159239
bei shang 	悲傷	c=1 d=1 t=18974
bei shang guang shen de 	北上廣深的	c=1 d=1 t=159240
bei shui 	背水	c=1 d=1 t=171260
bei tai 	備胎	c=1 d=1 t=154227
bei tong 	北通	c=2 d=1.99501 t=98539
bei wang 	備忘	c=1 d=1 t=13326
bei wang lu 	備忘錄	c=2 d=1 t=106381
bei wen 	被問	c=1 d=1 t=146521
bei wo 	被我	c=3 d=1 t=159045
bei wo men 	被我們	c=2 d=1 t=159628
bei xi 	悲喜	c=1 d=1 t=96001
bei xia lai 	背下來	c=1 d=1 t=162492
bei xuan 	備選	c=2 d=1 t=23777
bei ye 	貝葉	c=1 d=1.07045 t=101985
bei ye si 	貝葉斯	c=15 d=1 t=199007
bei you 	北郵	c=8 d=1 t=132123
bei you ren 	北郵人	c=2 d=1 t=72656
bei yue 	北約	c=1 d=1 t=110598
bei zhu 	備註	c=4 d=1 t=118490
bei zhuang 	悲壯	c=1 d=1 t=167555
bei zi 	杯子	c=2 d=1.99501 t=68860
bei zi 	被子	c=2 d=1 t=26684
bei zi ji 	被自己	c=1 d=1 t=49809
ben 	本	c=40 d=1 t=203266
ben 	犇	c=3 d=1 t=196859
ben 	笨	c=2 d=0.214381 t=4073
ben ci 	本次	c=2 d=1 t=138935
ben di 	本地	c=22 d=1 t=197835
ben di de 	本地的	c=1 d=1 t=172027
ben di xie 	本地寫	c=1 d=1 t=167680
ben fang 	本方	c=1 d=1 t=155082
ben jin 	本金	c=3 d=2.91708 t=87053
ben ke 	本科	c=5 d=0.1 t=184422
ben ke sheng 	本科生	c=1 d=1 t=66362
ben lai 	本來	c=19 d=1 t=205662
ben ling 	本領	c=2 d=1 t=73361
ben neng 	本能	c=2 d=1 t=171514
ben pian 	本篇	c=6 d=1 t=182257
ben qian 	本錢	c=1 d=1 t=144720
ben ren 	本人	c=1 d=1 t=179972
ben ri 	本日	c=1 d=1 t=181891
ben shen 	本身	c=25 d=1 t=203368
ben sheng 	本省	c=2 d=1 t=101771
ben shi 	本事	c=21 d=1.00004 t=201714
ben shi 	本是	c=1 d=1 t=89666
ben shu 	本書	c=3 d=0.1 t=185181
ben ti 	本體	c=2 d=1 t=50180
ben tu 	本土	c=1 d=1 t=39902
ben wen 	本文	c=1 d=6.67204e-05 t=4073
ben xing 	本性	c=1 d=1 t=141738
ben yi 	本意	c=1 d=1 t=156130
ben yi wei 	本以爲	c=1 d=1 t=198850
ben zhe 	本着	c=2 d=1 t=119996
ben zhi 	本質	c=15 d=1 t=171516
ben zhi shang 	本質上	c=3 d=1.15882 t=134837
ben zhi shi 	本質是	c=1 d=1 t=101395
ben zhou 	本週	c=23 d=1.00698 t=188503
ben zi 	本子	c=2 d=1.96079 t=185044
ben zu 	本組	c=1 d=1 t=132931
beng 	崩	c=4 d=1 t=167290
beng 	泵	c=1 d=1 t=154939
beng 	蹦	c=1 d=0.00202943 t=4073
beng chuang 	蹦牀	c=1 d=1 t=94125
beng huai 	崩壞	c=1 d=1 t=45489
beng kui 	崩潰	c=4 d=1 t=127485
bi 	俾	c=1 d=1 t=5279
bi 	壁	c=8 d=1 t=151325
bi 	幣	c=10 d=1 t=206169
bi 	必	c=2 d=1 t=199201
bi 	比	c=153 d=1.00396 t=204954
bi 	畢	c=2 d=1.90484 t=72611
bi 	筆	c=4 d=1 t=206596
bi 	逼	c=3 d=1 t=185132
bi 	閉	c=2 d=1 t=191065
bi an 	彼岸	c=1 d=1 t=58116
bi bai 	必敗	c=1 d=1 t=77020
bi bao 	閉包	c=1 d=1 t=10888
bi bei 	必備	c=1 d=1 t=52130
bi ci 	彼此	c=3 d=1.97045 t=169034
bi ding 	必定	c=3 d=1 t=175536
bi du 	必讀	c=1 d=1 t=183321
bi du 	避讀	c=4 d=1 t=149705
bi duan 	弊端	c=1 d=1 t=64739
bi dui 	比對	c=1 d=1 t=181480
bi er 	比爾	c=5 d=1.00007 t=51171
bi er gai ci 	比爾蓋茨	c=2 d=1.00456 t=52254
bi fang 	比方	c=1 d=1 t=6212
bi gong 	逼宮	c=1 d=1 t=84225
bi huan 	閉環	c=2 d=1 t=178400
bi ji 	筆記	c=411 d=2.89391 t=206354
bi ji ben 	筆記本	c=3 d=1 t=84160
bi ji de 	筆記的	c=2 d=0.100518 t=192226
bi ji de shi hou 	筆記的時候	c=1 d=1 t=192227
bi ji lei 	筆記類	c=1 d=1 t=157052
bi jia 	比價	c=1 d=1 t=117766
bi jiang 	必將	c=1 d=1 t=147811
bi jiao 	比較	c=141 d=1.00003 t=203923
bi jiao cha 	比較差	c=3 d=1 t=153554
bi jiao chi 	比較遲	c=1 d=1 t=155778
bi jiao da 	比較大	c=4 d=1 t=205433
bi jiao duo 	比較多	c=3 d=1 t=197120
bi jiao duo de 	比較多的	c=1 d=1 t=190450
bi jiao gui 	比較貴	c=1 d=1 t=44101
bi jiao hao 	比較好	c=1 d=1 t=169505
bi jiao kuai 	比較快	c=2 d=1 t=197585
bi jiao man 	比較慢	c=2 d=1 t=148431
bi jiao shuang 	比較爽	c=1 d=1 t=67950
bi jiao xiao 	比較小	c=1 d=1 t=203612
bi jiao zao de 	比較早的	c=1 d=1 t=198706
bi jin 	逼近	c=1 d=1 t=5453
bi jing 	畢竟	c=16 d=1 t=195399
bi kan 	必看	c=1 d=1 t=187268
bi li 	比例	c=28 d=1 t=202432
bi li hou 	比例後	c=1 d=1 t=198293
bi mang 	比忙	c=2 d=1.93707 t=195785
bi mian 	避免	c=50 d=2.94128 t=201333
bi mu 	閉幕	c=1 d=1 t=65875
bi neng 	俾能	c=1 d=1 t=201066
bi ni 	比你	c=1 d=1 t=28739
bi qi 	比起	c=2 d=1 t=182733
bi ran 	必然	c=2 d=1 t=145770
bi ru 	比如	c=99 d=1 t=203245
bi sai 	比賽	c=32 d=1 t=191244
bi shang 	閉上	c=1 d=1 t=25401
bi suo 	比索	c=1 d=1 t=55594
bi ta 	比他	c=1 d=1 t=131954
bi wo 	比我	c=5 d=1 t=196056
bi wo xiang xiang zhong de 	比我想象中的	c=1 d=1 t=159156
bi xu 	必須	c=22 d=1 t=198838
bi xu de 	必須的	c=1 d=1 t=198068
bi xu pin 	必需品	c=2 d=1 t=82735
bi xu yao 	必須要	c=2 d=1 t=182420
bi xu you 	必須有	c=1 d=1 t=176852
bi yao 	必要	c=31 d=1 t=204325
bi yao de 	必要的	c=1 d=1 t=183177
bi ye 	畢業	c=26 d=1 t=198172
bi ye hou 	畢業後	c=1 d=1 t=114771
bi ye sheng 	畢業生	c=2 d=0.1 t=135398
bi yi ci 	比一次	c=1 d=1 t=27236
bi yuan lai 	比原來	c=1 d=1 t=35442
bi zhe 	筆者	c=1 d=1 t=11844
bi zhen 	逼真	c=1 d=5.32773e-05 t=4073
bi zhi 	壁紙	c=1 d=1 t=39581
bi zhi 	比值	c=1 d=1 t=161072
bi zhong 	幣種	c=2 d=1 t=111798
bi zi 	篦子	c=1 d=1 t=189690
bi zi 	鼻子	c=1 d=1 t=189691
bi zu 	鼻祖	c=1 d=1 t=175340
bian 	便	c=1 d=1 t=95769
bian 	編	c=4 d=1 t=152193
bian 	變	c=32 d=1 t=198502
bian 	遍	c=5 d=1 t=180348
bian 	邊	c=26 d=1 t=203817
bian cha 	變差	c=13 d=1 t=179767
bian chang 	變長	c=3 d=1 t=108830
bian cheng 	編程	c=70 d=1 t=198683
bian cheng 	變成	c=24 d=1 t=203831
bian cheng ti 	編程題	c=1 d=1 t=96406
bian da 	變大	c=9 d=1 t=145002
bian de 	變得	c=18 d=1 t=203751
bian di 	變低	c=1 d=1 t=41818
bian dong 	變動	c=3 d=1 t=190958
bian duan 	變短	c=1 d=1 t=61090
bian duo 	便多	c=1 d=1 t=74343
bian duo 	變多	c=6 d=1 t=203810
bian fa 	變法	c=1 d=1 t=73458
bian gao 	變高	c=4 d=1 t=181822
bian ge 	變革	c=1 d=1 t=147031
bian geng 	變更	c=1 d=1 t=193824
bian guo 	變過	c=2 d=1 t=179681
bian hao 	編號	c=5 d=1 t=194123
bian hao 	變好	c=4 d=1 t=194124
bian hong 	變紅	c=1 d=1 t=126749
bian hua 	變化	c=80 d=1.00566 t=206265
bian hua de 	變化的	c=1 d=1 t=192493
bian huan 	變換	c=3 d=1 t=199960
bian ji 	編輯	c=22 d=1.97531 t=190733
bian ji 	邊際	c=5 d=1.98511 t=202307
bian ji qi 	編輯器	c=17 d=1.26714 t=186733
bian jie 	邊界	c=4 d=1 t=164461
bian kan 	邊看	c=2 d=1 t=201974
bian kuang 	邊框	c=2 d=1 t=84832
bian lai 	變來	c=1 d=1 t=109155
bian lan 	邊欄	c=1 d=1 t=154552
bian li 	便利	c=2 d=0.1 t=195232
bian li 	遍歷	c=12 d=1.89137 t=192060
bian li feng 	便利蜂	c=1 d=1 t=195233
bian liang 	變量	c=61 d=1 t=204119
bian liang ming 	變量名	c=1 d=1 t=33487
bian ma 	編碼	c=18 d=1 t=200147
bian ping hua 	扁平化	c=1 d=1 t=138590
bian qian 	變遷	c=1 d=1 t=65993
bian qu 	變去	c=1 d=1 t=109156
bian re 	變熱	c=1 d=1 t=103724
bian shao 	變少	c=3 d=1.98511 t=197394
bian wei 	變爲	c=2 d=1 t=145509
bian xiang 	變相	c=1 d=1 t=89962
bian xiao 	變小	c=3 d=1 t=154033
bian xie 	編寫	c=6 d=1.00762 t=201975
bian xie de 	編寫的	c=1 d=1 t=201461
bian xing 	變型	c=1 d=1 t=145233
bian yi 	便宜	c=2 d=1 t=143346
bian yi 	編譯	c=93 d=1.21852 t=201939
bian yi chu lai 	編譯出來	c=1 d=1 t=17297
bian yi de 	編譯的	c=1 d=1 t=148611
bian yi guo 	編譯過	c=1 d=1 t=17289
bian yi qi 	編譯器	c=2 d=1 t=205487
bian yi wan 	編譯完	c=1 d=1 t=135395
bian yi wen ti 	編譯問題	c=1 d=1 t=170962
bian yu 	便於	c=1 d=1 t=54241
bian yuan 	邊緣	c=1 d=1 t=100038
bian zai 	邊在	c=1 d=1 t=191146
bian zhi 	編織	c=1 d=1 t=138022
biao 	標	c=13 d=1 t=196374
biao 	表	c=92 d=1.00083 t=200977
